idcomm,name,dname,zone,type,announce,ownership,area,agency,num_male,num_female,num_family,num_board,num_house
103303001,ชุมชนเกาะกลาง,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,20-ก.ย.-37,บุกรุก,3,สนง.ทรัพย์สินฯ,165,170,58,7,58
103303002,ชุมชนข้างโรงเรียนวัดสะพาน,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,เช่า,6,,185,205,63,7,63
103301003,ชุมชนคลองเตยล็อค 1-2-3,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,บุกรุก,41,การท่าเรือฯ,"3,452.00","3,674.00","1,556.00",21,"1,556.00"
103301004,ชุมชนคลองเตยล็อค 4-5-6,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,บุกรุก,21,การท่าเรือฯ,"1,450.00","1,550.00","1,000.00",25,"1,000.00"
103301017,ชุมชนซอยเจริญสุข,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,29-ธ.ค.-38,ตนเองและเช่า,20,,"3,250.00","3,750.00","1,283.00",20,"1,283.00"
103301005,ชุมชนตลาดท่าเรือคลองเตย,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,20-ก.ย.-37,เช่า,25,,"2,800.00","3,200.00","1,009.00",15,"1,009.00"
103301030,ชุมชนตลาดปีนัง,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,9-ต.ค.-40,เช่า,7,,114,142,72,7,72
103301038,ชุมชนตลาดปีนังพัฒนา,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,3-ธ.ค.-42,ตนเองและเช่า,7,,270,322,155,7,155
103302034,ชุมชนทรัพย์มโนทัย,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,9-ก.พ.-42,ตนเองและเช่า,120,,826,"1,286.00",412,13,412
103301041,ชุมชนเทพประทาน,คลองเตย,กรุงเทพใต้,ชุมชนอาคารสูง,4-พ.ค.-49,เช่า,17,สนง.ทรัพย์สินฯ,"1,602.00","1,905.00",886,25,886
103302006,ชุมชนนภาศัพท์แยก 4,คลองเตย,กรุงเทพใต้,ชุมชนเมือง,20-ก.ย.-37,เช่า,5,สนง.ทรัพย์สินฯ,330,341,117,7,117
103301018,ชุมชนน้องใหม่,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,10,กรมศุลกากร,505,745,287,10,287
103303007,ชุมชนบ้านกล้วย,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,บุกรุก,3,การท่าเรือฯ,315,413,178,9,178
103303008,ชุมชนปิยะวัชร,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,20-ก.ย.-37,เช่า,3,,180,250,81,7,81
103301019,ชุมชนพัฒนาใหม่,คลองเตย,กรุงเทพใต้,ชุมชนแออัด,29-ธ.ค.-38,บุกรุก,40,การท่าเรือฯ,947,"1,053.00",439,10,439
